Training on device: cpu
[Epoch 0] Training ====
Epoch Step:    121 | Accumulation Step:  13 | Loss:   2.77 | Tokens / Sec:   128.2 | Learning Rate: 1.0e-03
Epoch Step:    161 | Accumulation Step:  17 | Loss:   2.26 | Tokens / Sec:   127.4 | Learning Rate: 1.1e-03
Epoch Step:    201 | Accumulation Step:  21 | Loss:   2.47 | Tokens / Sec:   125.4 | Learning Rate: 1.1e-03
Epoch Step:    241 | Accumulation Step:  25 | Loss:   2.77 | Tokens / Sec:   124.3 | Learning Rate: 1.1e-03
Epoch Step:    281 | Accumulation Step:  29 | Loss:   2.93 | Tokens / Sec:   127.4 | Learning Rate: 1.1e-03
Epoch Step:    321 | Accumulation Step:  33 | Loss:   2.54 | Tokens / Sec:   129.4 | Learning Rate: 1.1e-03
Epoch Step:    361 | Accumulation Step:  37 | Loss:   1.98 | Tokens / Sec:   130.4 | Learning Rate: 1.2e-03
Epoch Step:    401 | Accumulation Step:  41 | Loss:   2.66 | Tokens / Sec:   127.8 | Learning Rate: 1.2e-03
Epoch Step:    441 | Accumulation Step:  45 | Loss:   2.19 | Tokens / Sec:   128.4 | Learning Rate: 1.2e-03
Epoch Step:    481 | Accumulation Step:  49 | Loss:   2.27 | Tokens / Sec:   127.4 | Learning Rate: 1.2e-03
Epoch Step:    521 | Accumulation Step:  53 | Loss:   2.06 | Tokens / Sec:   126.1 | Learning Rate: 1.3e-03
Epoch Step:    561 | Accumulation Step:  57 | Loss:   2.15 | Tokens / Sec:   126.9 | Learning Rate: 1.3e-03
Epoch Step:    601 | Accumulation Step:  61 | Loss:   2.41 | Tokens / Sec:   127.2 | Learning Rate: 1.3e-03
Epoch Step:    641 | Accumulation Step:  65 | Loss:   2.28 | Tokens / Sec:   126.6 | Learning Rate: 1.3e-03
Epoch Step:    681 | Accumulation Step:  69 | Loss:   2.05 | Tokens / Sec:   125.7 | Learning Rate: 1.3e-03
Epoch Step:    721 | Accumulation Step:  73 | Loss:   2.40 | Tokens / Sec:   125.7 | Learning Rate: 1.4e-03
Epoch Step:    761 | Accumulation Step:  77 | Loss:   2.29 | Tokens / Sec:   127.0 | Learning Rate: 1.4e-03
Epoch Step:    801 | Accumulation Step:  81 | Loss:   2.07 | Tokens / Sec:   125.4 | Learning Rate: 1.4e-03
Epoch Step:    841 | Accumulation Step:  85 | Loss:   2.02 | Tokens / Sec:   125.4 | Learning Rate: 1.4e-03
Epoch Step:    881 | Accumulation Step:  89 | Loss:   2.30 | Tokens / Sec:   128.5 | Learning Rate: 1.4e-03
Epoch Step:    921 | Accumulation Step:  93 | Loss:   2.11 | Tokens / Sec:   124.8 | Learning Rate: 1.5e-03
Epoch Step:    961 | Accumulation Step:  97 | Loss:   2.23 | Tokens / Sec:   124.6 | Learning Rate: 1.5e-03
Epoch Step:   1001 | Accumulation Step: 101 | Loss:   2.29 | Tokens / Sec:   126.6 | Learning Rate: 1.5e-03
Epoch Step:   1041 | Accumulation Step: 105 | Loss:   2.55 | Tokens / Sec:   127.4 | Learning Rate: 1.5e-03
Epoch Step:   1081 | Accumulation Step: 109 | Loss:   1.97 | Tokens / Sec:   127.8 | Learning Rate: 1.6e-03
Epoch Step:   1121 | Accumulation Step: 113 | Loss:   2.05 | Tokens / Sec:   128.9 | Learning Rate: 1.6e-03
Epoch Step:   1161 | Accumulation Step: 117 | Loss:   2.25 | Tokens / Sec:   127.1 | Learning Rate: 1.6e-03
Epoch Step:   1201 | Accumulation Step: 121 | Loss:   2.12 | Tokens / Sec:   124.6 | Learning Rate: 1.6e-03
Epoch Step:   1241 | Accumulation Step: 125 | Loss:   2.55 | Tokens / Sec:   126.8 | Learning Rate: 1.6e-03
Epoch Step:   1281 | Accumulation Step: 129 | Loss:   2.25 | Tokens / Sec:   124.2 | Learning Rate: 1.6e-03
Epoch Step:   1321 | Accumulation Step: 133 | Loss:   1.76 | Tokens / Sec:   126.5 | Learning Rate: 1.6e-03
Epoch Step:   1361 | Accumulation Step: 137 | Loss:   1.98 | Tokens / Sec:   128.5 | Learning Rate: 1.6e-03
Epoch Step:   1401 | Accumulation Step: 141 | Loss:   2.27 | Tokens / Sec:   129.2 | Learning Rate: 1.6e-03
Epoch Step:   1441 | Accumulation Step: 145 | Loss:   1.98 | Tokens / Sec:   127.3 | Learning Rate: 1.5e-03
Epoch Step:   1481 | Accumulation Step: 149 | Loss:   2.09 | Tokens / Sec:   127.3 | Learning Rate: 1.5e-03
Epoch Step:   1521 | Accumulation Step: 153 | Loss:   2.11 | Tokens / Sec:   129.4 | Learning Rate: 1.5e-03
Epoch Step:   1561 | Accumulation Step: 157 | Loss:   2.63 | Tokens / Sec:   124.2 | Learning Rate: 1.5e-03
Epoch Step:   1601 | Accumulation Step: 161 | Loss:   1.85 | Tokens / Sec:   126.9 | Learning Rate: 1.5e-03
Epoch Step:   1641 | Accumulation Step: 165 | Loss:   1.93 | Tokens / Sec:   128.1 | Learning Rate: 1.5e-03
Epoch Step:   1681 | Accumulation Step: 169 | Loss:   1.75 | Tokens / Sec:   129.0 | Learning Rate: 1.5e-03
Epoch Step:   1721 | Accumulation Step: 173 | Loss:   2.18 | Tokens / Sec:   125.2 | Learning Rate: 1.5e-03
Epoch Step:   1761 | Accumulation Step: 177 | Loss:   2.02 | Tokens / Sec:   128.1 | Learning Rate: 1.5e-03
Epoch Step:   1801 | Accumulation Step: 181 | Loss:   2.24 | Tokens / Sec:   127.4 | Learning Rate: 1.5e-03
[Epoch 1] Validation ====
(tensor(1.9081), <__main__.TrainState object at 0x000001EDF0FB6C90>)
[Epoch 2] Training ====
Epoch Step:      1 | Accumulation Step:   1 | Loss:   1.76 | Tokens / Sec:   112.1 | Learning Rate: 1.5e-03
Epoch Step:     41 | Accumulation Step:   5 | Loss:   1.61 | Tokens / Sec:   119.6 | Learning Rate: 1.5e-03
Epoch Step:     81 | Accumulation Step:   9 | Loss:   1.60 | Tokens / Sec:   124.0 | Learning Rate: 1.5e-03
Epoch Step:    121 | Accumulation Step:  13 | Loss:   1.52 | Tokens / Sec:   119.0 | Learning Rate: 1.4e-03
Epoch Step:    161 | Accumulation Step:  17 | Loss:   1.67 | Tokens / Sec:   126.4 | Learning Rate: 1.4e-03
Epoch Step:    201 | Accumulation Step:  21 | Loss:   1.90 | Tokens / Sec:   127.8 | Learning Rate: 1.4e-03
Epoch Step:    241 | Accumulation Step:  25 | Loss:   1.62 | Tokens / Sec:   128.2 | Learning Rate: 1.4e-03
Epoch Step:    281 | Accumulation Step:  29 | Loss:   2.01 | Tokens / Sec:   124.5 | Learning Rate: 1.4e-03
Epoch Step:    321 | Accumulation Step:  33 | Loss:   1.84 | Tokens / Sec:   126.1 | Learning Rate: 1.4e-03
Epoch Step:    361 | Accumulation Step:  37 | Loss:   1.53 | Tokens / Sec:   125.4 | Learning Rate: 1.4e-03
Epoch Step:    401 | Accumulation Step:  41 | Loss:   1.89 | Tokens / Sec:   127.8 | Learning Rate: 1.4e-03
